user,tiempo,chunk,source
Celsia Energía,1 semana •,"Nace Atera, una empresa creada entre Celsia y Brookfield que llega en un momento clave para el país y la región, donde el despliegue de renovables y la eficiencia energética se han convertido en una palanca de competitividad que busca garantizar la disponibilidad y estabilidad de la energía, un recurso fundamental para el desarrollo económico y territorial. Conoce su manifiesto y empieza a seguirlos en Atera Energy para conocer todo lo que su equipo de expertos está haciendo por las grandes industrias.⚡",LinkedIn
Celsia Energía,2 semanas •,"Las energías renovables no convencionales dependen de los recursos naturales que son inagotables, pero a la vez intermitentes. Y el sistema eléctrico no puede detenerse. Gracias a tecnologías de almacenamiento y redes inteligentes, enfrentamos este reto con innovación. Una transición energética es posible, incluso cuando, en ocasiones, tenemos días de poco sol o viento.☀️",LinkedIn
Celsia Energía,2 semanas • Editado •,"Grupo QBCo ahora es parte del futuro energético. Hoy, junto a Celsia, damos un paso firme hacia una industria que produce con responsabilidad y se mueve con la fuerza del sol. ☀️🌱 hashtag hashtag hashtag hashtag",LinkedIn
Celsia Energía,3 semanas •,"Hace poco anunciamos dos movidas en Perú: avanzamos en la vinculación de inversionistas para desarrollar proyectos por más de USD 1,200 millones y presentamos la plataforma en energía renovable Celaris Energy. ⚡ Este es un paso clave para la compañía, el programa hashtag y el futuro energético de la región. Dale play y escucha las voces de sus protagonistas.",LinkedIn
Celsia Energía,3 semanas •,"¿Quieres ver cuánto dinero recibió tu municipio? Comenta """"Transferencias"""" y te mandamos la info completa al DM. Tolima no solo paga energía… también recibe dinero por la energía que se genera en este departamento. En seis meses llegaron casi $3 mil millones en transferencias de Celsia. En este video te contamos más 👉 .",LinkedIn
Celsia Energía,3 semanas •,☀️ Haz que tu empresa sea más competitiva y sostenible con energía solar. En Celsia te contamos cómo. ¡Escríbenos! hashtag,LinkedIn
Celsia Energía,3 semanas • Editado •,"¡Estamos en la lista de Forbes Colombia de las 50 empresas líderes en sostenibilidad en Colombia! Este ranking destaca a las compañías del país que han demostrado su compromiso con el tema y tienen avances concretos en sus operaciones. Te contamos por qué hacemos parte de esta selección 🤔 ✅En el 2025, la Evaluación Corporativa de Sostenibilidad (CSA) de S&P Global nos ubica como la primera empresa de Colombia entre más de 200 evaluadas en sostenibilidad en el mundo del sector de electric utilities. ✅Tenemos la distinción Top 5% del Anuario de Sostenibilidad de S&P Global por nuestra gestión en el cuidado del agua y la relación con comunidades, derechos humanos, gestión ambiental, biodiversidad, capital humano y materialidad. ✅Más del 75% de nuestra capacidad instalada de generación de energía proviene de fuentes renovables, que evitaron en 2024 la emisión de 194.700 toneladas de CO₂. ✅A través de nuestra plataforma de inversión C2 Energía, en alianza con Cubico Sustainable Investments, hemos gestionado 20 proyectos solares que suman 356 MWp en Colombia. ✅Con nuestro programa hashtag hemos sembrado 18 millones de árboles nativos en más de 8.000 hectáreas, restaurando ecosistemas estratégicos. ✅Harvard Business School publicó el caso Celsia: cultura y estrategia, reconociendo nuestra cultura de la buena energía como referente de transformación empresarial. Y tenemos muchas acciones más. Te invitamos a leer nuestro sitio web de Sostenibilidad (que además está super renovado) 👉 Te dejamos también la nota de Forbes 👉",LinkedIn
Celsia Energía,1 semana •,"Este contenido nos explica con un ejemplo de la vida cotidiana qué es la demanda de energía. Lo más importante para entender es que la energía que se genera en el país debe ser suficiente para atender las necesidades de todos los sectores, y cómo cada vez estamos más electrificados, hay más industrias y somos más, les tenemos un spoiler… para el 2027 vamos a necesitar 17% más de energía. ⚡",LinkedIn
Celsia Energía,1 mes •,"¿Eres estudiante de la Universidad del Tolima? Esta info es para ti: En Celsia sabemos lo que cuesta estudiar lejos de casa. Por eso, junto a nuestro aliado Cubico Sustainable Investments, abrimos de nuevo nuestras becas de sostenimiento para que puedas seguir con tu estudios. Consulta los requisitos en este post y si cumples con cada uno, postúlate hasta el 15 de septiembre aquí: ¡Tu esfuerzo merece un impulso!",LinkedIn
Celsia Energía,1 mes •,"hashtag Finalizamos la semana con el resumen diario de nuestro programa de readquisición de acciones al cierre de la bvc-Bolsa de Valores de Colombia S.A. ✅Precio de la hashtag : COP 4.800 (+0,42%). ✅# Acciones recompradas hoy: 42.233. Acumulado: 27.146.115 ✅ Monto recomprado: COP 202 millones. Acumulado: COP 110.318 millones. En este sitio puedes consultar todos los resúmenes de la hashtag y conocer más sobre hashtag 👉🏼",LinkedIn
Celsia Energía,1 mes •,"Con hashtag redujimos deuda, bajamos gastos, creamos valor y nuestra acción brilló. Un trimestre jugado """"a lo crack"""". Desliza y conoce cómo se siente la energía cuando se juega con estrategia. Estos son los resultados de este programa en el 2T del 2025.",LinkedIn
Celsia Energía,1 mes •,"hashtag Finalizamos la semana con el resumen diario de nuestro programa de readquisición de acciones al cierre de la bvc-Bolsa de Valores de Colombia S.A. ✅Precio de la hashtag : COP 4.885 (+2,30%). ✅# Acciones recompradas hoy: 53.563. Acumulado: 26.951.555 ✅ Monto recomprado: COP 259 millones. Acumulado: COP 109.384 millones. En este sitio puedes consultar todos los resúmenes de la hashtag y conocer más sobre hashtag 👉🏼",LinkedIn
Celsia Energía,1 mes •,"🧡 ¡Llegamos a Cartagena con toda la buena energía! ⚡🌊. Con ideas que transforman el futuro y ponen ON la transición, impulsando la eficiencia energética que el planeta necesita. ¡Estamos en la ANDI - Asociación Nacional de Empresarios de Colombia! 🫶🏻 Atera Energy",LinkedIn
Celsia Energía,1 mes •,"Datos curiosos de la Teleconferencia de hashtag . En nuestra teleconferencia de resultados nuestros líderes nos contaron unos datos random que nos dejaron con la boca abierta. Entre tantos números, opex, capex y ebitda aquí te los contamos.",LinkedIn
Celsia Energía,2 meses •,"hashtag | Un trimestre con resultados significativos y pasos firmes hacia la transición energética, gracias a nuestro modelo de negocio que combina la prestación de servicios de energía con la gestión de activos. En el acumulado del 2025, destacamos: - Ingresos consolidados: $2,77 billones (-16,2%) - EBITDA: $914 mil millones (+15,7%) - Ganancia neta: $220 mil millones (+30%) En una de las imágenes de este post hacemos un doble clic a los datos clave de este segundo trimestre. Si lo vemos por negocios: - En los ingresos consolidados la Gestión de activos aportó el 12% y el negocio de Servicios de energía el 88%. - En el EBITDA, $404 mil millones provinieron del negocio de Servicios de Energía, registrando un margen EBITDA del 34,8%. El negocio de Gestión de Activos aportó $38 mil millones. “Estos resultados reflejan la solidez de nuestro modelo dual y la capacidad de adaptación de Celsia en un entorno cambiante. Seguimos consolidando un portafolio sólido de crecimiento enfocado en generación renovable no convencional, seguridad energética y transmisión para la transición, alineado con las principales tendencias del sector a nivel mundial y regional. Así, seguimos construyendo valor sostenible para nuestros accionistas y para el país”, dijo nuestro líder Ricardo Sierra. Nuestro programa hashtag , diseñado para que el mercado tenga una mirada más profunda sobre el valor fundamental de la compañía, presentó avances en sus 5 frentes: 1. Reducción del costo de la deuda: (11,32% → 11,19%) y plan para bajar $1,18 billones en el segundo semestre del 2025. 2. Reducción en el Opex del 10% frente al mismo trimestre del año anterior. 3. Consolidación del vehículo de inversión para el desarrollo de proyectos en Perú (USD 300M. Celsia aporta 20% del equity ). 4. Avance en la creación de una compañía con un portafolio de soluciones de eficiencia energética. 5. Readquisición de acciones: 36% ejecutado, retorno al accionista 39%, y crecimiento de la acción de 34,24%. Resultados financieros sólidos, crecimiento en nuestras plataformas y nuevos proyectos. En Celsia, cada paso que damos es para crear valor sostenible para nuestros accionistas y para el país. Consulta más información en nuestra hashtag : hashtag",LinkedIn
Celsia Energía,2 meses •,"Resultados financieros sólidos, crecimiento en nuestras plataformas y nuevos proyectos. En Celsia, cada paso que damos es para crear valor sostenible para nuestros accionistas y para el país. Consulta más información en nuestra hashtag : hashtag",LinkedIn
Celsia Energía,2 meses •,"¡Atención! No te dejes engañar. Hemos detectado intentos de fraude a terceros en nombre de nuestra compañía. Aunque no eran proveedores, al desconocer nuestros procesos internos, cayeron en la trampa. 📌 Ten en cuenta estas recomendaciones: ✅ Los correos oficiales SIEMPRE terminan en .com ✅ Las órdenes de compra se descargan únicamente a través de nuestra plataforma Snetwork Sourcing, nunca van como archivo adjunto: ✅ No solicitamos pagos, anticipos o transferencias a cuentas no oficiales. ✅ Desconfía de mensajes urgentes o con presión para actuar rápido. ✅ No creas en números de WhatsApp con nuestro logo, confirma siempre. ✅ Verifica cualquier novedad en nuestras líneas oficiales: Para clientes: la línea telefónica 01 8000 112115, WhatsApp 302 122 4275; sitio web www.celsia.com Para proveedores: relacionamientoproveedores.com; sitio web WhatsApp 321 8201904 ✅ No accedas a enlaces ni descargues archivos de correos sospechosos Unos minutos de verificación pueden evitar pérdidas y proteger tu negocio. hashtag hashtag hashtag hashtag",LinkedIn
Celsia Energía,3 semanas •,"La sostenibilidad es un compromiso global y uno de nuestros grandes focos en Celsia. Nuestro Líder ASG Oscar Mauricio Gómez Mantilla, compartió la visión que tenemos de la sostenibilidad en el nuevo episodio del pódcast Cadenas de Valor Sostenibles. Una conversación que muestra cómo desde las empresas podemos acelerar la transición hacia un futuro más responsable. Te invitamos a escuchar el episodio completo 👉",LinkedIn
Celsia Energía,4 semanas •,Nuestro líder Ricardo Sierra se sentó en El Lado V de los Líderes de Valora Analitik para hablar más allá de la energía y los negocios. Nos comparte las lecciones que han marcado su liderazgo y cómo la lectura se convirtió en su brújula para tomar decisiones y ver el mundo de otra manera. Dale play al episodio y descubre un lado inspirador de quien lidera nuestra compañía. Escúchalo aquí 👉,LinkedIn
Celsia Energía,1 mes • Editado •,"Con nuestro negocio de gestión de activos, adelantamos en Perú dos movimientos clave: ✅ Avanzamos en la vinculación de inversionistas para desarrollar un portafolio de proyectos renovables por más de USD 1.200 millones, que sumarán 1,2 GW de capacidad instalada al 2028 a través de proyectos solares y eólicos. ✅ Presentamos Celaris Energy, una plataforma de energía 100 % renovable que ofrece al mercado empresarial peruano una propuesta diferencial para la comercialización de energía limpia, eficiente y competitiva. Actualmente está en construcción el parque eólico Caravelí, en Arequipa, con 218 MW de potencia y generación anual estimada de 600 GWh. Te invitamos a leer el comunicado completo y a ver el video donde nuestro líder financiero en Celsia, Esteban Piedrahita, y María del Pilar Matto, CEO de Celaris Energy, nos cuentan por qué esta plataforma es un avance clave en nuestro negocio de gestión de activos, en el desarrollo de nuestro programa hashtag y, por supuesto, en la transición energética del Perú:",LinkedIn
Celsia Energía,1 mes •,"✨Haz tu energía solar mucho más poderosa✨ Con un sistema de baterías puedes almacenar lo que produces de día y usarlo en la noche, aumentar tu autoconsumo y ahorrar más 💡☀️🔋 El futuro de la energía ya está aquí y nosotros somos el aliado perfecto ¿Quieres aprovecharlo? Escríbenos al WhatsApp 📲 3103361353. hashtag hashtag",LinkedIn
Celsia Energía,2 meses •,"hashtag Cerramos la semana con el resumen de nuestro programa de readquisición de acciones al cierre de la bvc-Bolsa de Valores de Colombia S.A. y les recordamos que a partir del próximo lunes entramos en periodo de veda, tiempo en el cual no se recompran acciones debido a que el próximo martes 12 de agosto estaremos presentado nuestros resultados financieros del segundo trimestre del 2025. Los esperamos ese día en nuestro Space de X, a las 8:00 a.m. ✅ Precio de la hashtag : COP 4.685 (-1,37%) ✅ # Acciones recompradas: 59.219. Acumulado: 26.734.419 ✅ Monto recomprado: COP 279 millones. Acumulado: COP 108.325 millones. En este sitio puedes consultar todos los resúmenes de la hashtag y conocer más sobre hashtag 👉🏼",LinkedIn
,,"Te invitamos a ser parte de este espacio, donde hablaremos cómo la eficiencia energética impulsa la competitividad industrial. 💡⚙️ ¡No te lo pierdas! Celsia Energía",LinkedIn
Celsia Energía,1 mes •,"Dicen que la naturaleza tiene sus propios guardianes… y en hashtag los estamos sembrando. Cada vivero es un pequeño milagro: semillas diminutas que se transforman en árboles capaces de sanar la tierra, proteger el agua y dar refugio a la vida. Son plántulas que un día serán bosques, y los bosques son sinónimo de esperanza. Este video te muestra a esos guardianes silenciosos que hoy cuidan nuestro futuro.",LinkedIn
Celsia Energía,2 meses • Editado •,"La naturaleza, el color y la esperanza se unieron en una sola obra: Contra la Oscuridad, nuestro nuevo libro de arte y su protagonista es Catalina Estrada. Catalina transforma heliconias, orquídeas y anturios en un caleidoscopio de vida que ahora también florece en nuestras páginas. Si te suena su nombre es porque seguro has visto su arte en libros de Paulo Coelho o marcas como Coca-Cola y Disney. Ahora, su talento se une a la energía de Celsia para celebrar lo que nos conecta con la tierra. Conoce todo lo que hay detrás de esta edición de lujo en este comunicado:",LinkedIn
Celsia Energía,1 mes • Editado •,La energía no llega “por arte de magia” a los hogares y empresas. Detrás de cada bombillo encendido hay más de 46 mil kilómetros de redes eléctricas que conectan 8 departamentos del país. Eso también es poner ON la transición energética. hashtag,LinkedIn
Celsia Energía,1 mes •,"Si el sector energético parece un idioma imposible, aquí lo traducimos para ti. Como lo dijo nuestro líder Ricardo Sierra, el gran reto es simplificar la complejidad del sector. Y en nuestro pódcast hashtag lo hacemos: pasamos de tecnicismos y cifras a conversaciones claras, cercanas y fáciles de entender. Escucha ya todos los episodios y súmate a la conversación:",LinkedIn
Celsia Energía,1 mes •,"Gestionar un embalse se trata de tenerlo listo y operativo para generar energía siempre, incluso cuando el clima juega en contra. Te vamos a contar cómo mantenemos nuestras centrales de generación preparadas para entregar energía los 365 días del año. Dale play.",LinkedIn
Celsia Energía,1 mes •,"Cuando hablamos de transición energética, solemos pensar solo en parques eólicos o solares. Pero Xavier Genis lo deja claro: la inversión en transmisión debe ser igual de grande que en generación. A nivel global, el reto ya está sobre la mesa: 25 trillones de dólares en infraestructura de aquí a 2050. Y en Colombia, ese desafío no es menor. Escucha el episodio completo aquí:",LinkedIn
Celsia Energía,1 mes •,"Fortalecer el sistema eléctrico de Colombia no es discurso, es acción. En el norte del Tolima lo estamos demostrando: Con una inversión de $40 mil millones, hoy más de 106 mil clientes disfrutan un servicio de energía más confiable y estable. Esto no es solo infraestructura. Es el turismo que crece, la industria que se mueve y las comunidades que viven con la tranquilidad de contar con energía firme. Mira este video y conoce cómo encendemos regiones y fortalecemos a Colombia: con energía confiable.",LinkedIn
Celsia Energía,1 mes • Editado •,"40 startups, 2 días, un montón de ideas y toda la energía de Celsia en el evento hashtag . Así vivimos nuestra participación en un espacio en el que emprendedores, universidades, fondo, gobierno y grandes empresas nos encontramos para generar oportunidades reales de crecimiento. Que la conexión siga y sea permanente para que hagamos muchas ideas realidad para Colombia. Conexión Summit",LinkedIn
Celsia Energía,3 meses •,"Seguimos engomados con la energía eólica, pues ya estamos haciendo pruebas con nuestros aerogeneradores del proyecto Carreto, en Atlántico. Hoy queremos explicarte, ¿cómo se genera energía con el viento? Con aspas que giran y tecnologías que convierten movimiento en electricidad. La energía eólica es una aliada clave para la hashtag .",LinkedIn
Celsia Energía,3 meses •,"hashtag Cerramos la semana con el resumen de nuestro programa de readquisición de acciones al cierre de la bvc-Bolsa de Valores de Colombia S.A. ✅ Precio de la acción: COP 4.535 (+0,33%) ✅# Acciones recompradas hoy: 68.676. Acumulado: 26.140.302 ✅ Monto recomprado: COP 309 millones. Acumulado: COP 105.527 millones. En este sitio puedes consultar todos los resúmenes de la hashtag 👉🏼",LinkedIn
Celsia Energía,1 mes •,"En Celsia creemos en una energía que no solo ilumina, sino que transforma. Por eso, impulsamos proyectos que cuidan el planeta, apoyan a las comunidades y generan resultados sostenibles. Conoce todo lo que estamos haciendo y nuestros avances en sostenibilidad aquí 👉 hashtag hashtag hashtag",LinkedIn
Celsia Energía,3 semanas •,"Nuestros líder Ricardo Sierra, participó hace unos días de la presentación de Celaris Energy en Perú. Escucha su testimonio sobre las movidas que, desde Celsia, estamos haciendo en este país suramericano que le está apostando fuerte a las energías renovables 🧡",LinkedIn
Celsia Energía,1 mes •,"¡Así responde la naturaleza cuando hacemos procesos de restauración ecológica! En el predio Buenavista, en Toro (Valle del Cauca), venimos sembrando con nuestro programa hashtag y de la mano de varios aliados, más de 70.000 árboles desde 2024. ¡Y qué sorpresa nos llevamos! Las cámaras trampa han captado algo increíble: nuevos registros de fauna que muestran cómo la vida regresa cuando conectamos los bosques y cuidamos el ecosistema. Entre los registros más valiosos está el avistamiento de un Tigrillo, una especie en estado vulnerable según la lista roja de la UICN. También logramos captar en video varias especies de aves y mamíferos que confirman que el proceso de restauración ecológica en la cuenca RUT (Roldanillo–La Unión–Toro) está dando frutos. Mira este video con los registros captados por nuestras cámaras de rastreo, le pusimos nombre a cada uno para que sepas quién es quién.",LinkedIn
Celsia Energía,1 mes •,"“Cataluña perdió el tren de la transición energética. Colombia no puede cometer el mismo error.” En este episodio de hashtag , Xavier Genis advierte que la falta de planeación y valentía en la toma de decisiones puede frenar el avance de cualquier país. La transición requiere liderazgo, inversión y la capacidad de gestionar proyectos complejos con visión de futuro. Una discusión clave para entender cómo garantizar seguridad energética, competitividad e infraestructura en Colombia. Escucha aquí el episodio completo:",LinkedIn
Celsia Energía,3 semanas •,Información importante sobre la hashtag .,LinkedIn
Celsia Energía,1 mes •,"“No hay ninguna sociedad rica que sea pobre energéticamente”. En el pódcast de Bancolombia participamos para hablar de lo que nos mueve: la energía y la cultura. ⚡ Ricardo Sierra, nuestro Culture Energy Officer (así resignificamos lo del CEO), contó cómo en Celsia le quitamos peso a la jerarquía, dejamos atrás enfermedades corporativas y apostamos por una cultura flexible, positiva y enfocada en aprender siempre. También conversamos sobre por qué Colombia ya tiene una de las matrices más limpias del mundo y cómo las alianzas público-privadas son claves para el progreso de la sociedad. Escúchalo aquí:",LinkedIn
Celsia Energía,3 meses •,¿Sabías que en el sector de la energía se realizan subastas? Estas se realizan con muchas empresas para asegurar tener la energía que el país requiere a largo plazo y así planear el futuro con más tranquilidad. Te contamos cómo funcionan.,LinkedIn
,,"Más de 500 empresas ya saben lo que significa optimizar su energía, reducir costos y avanzar hacia un modelo sostenible. En Celsia Energía no solo transformamos procesos, transformamos resultados.",LinkedIn
Celsia Energía,3 meses • Editado •,"En la construcción del Parque Eólico Carreto, nuestro primer proyecto de generación eólica en Colombia, contamos con un aliado que conoce muy bien el terreno: Cementos Argos. Juntos hicimos posible una obra que transforma el viento del Caribe en energía limpia para el país. Desde el diseño del concreto, su transporte y vaciado, hasta los desafíos logísticos en la costa. Cada paso fue clave para avanzar con precisión. Desliza para conocer cómo lo hicimos.",LinkedIn
Celsia Energía,4 semanas •,¿Y si un día te levantas y no hay energía? 😳 La cosa no pinta tan chévere para el 2027… En este video de Economía para la pipol nos cuentan qué está pasando con la energía en el país y por qué es clave que entren más proyectos de generación 👇🏽.,LinkedIn
Celsia Energía,1 mes • Editado •,"¿Eres desarrollador de proyectos de energía? Tenemos aerogeneradores para ti. En el mundo de la energía eólica, el tiempo es clave. Por eso, en Celsia queremos contarles de una oportunidad única: tenemos disponibles aerogeneradores nuevos Nordex N155 5.X (60Hz), listos para entrar en proyectos de generación sin esperar los largos tiempos de fabricación. Se trata de equipos de última generación, con rotor de 155 metros y potencia configurable hasta 5.9 MW, diseñados para vientos Clase S según norma IEC. Están completos con sus principales componentes (nacelle, transformador, convertidor, set de palas según disponibilidad, entre otros) y lo mejor: pueden entregarse de inmediato. 📍 Disponibilidad: - 21 unidades completas con palas - 3 unidades sin palas - Aerogeneradores en Bilbao (España) y Taican (China). - Palas en Matamoros (México), listas para salir por Puerto de Brownsville (EE. UU.) Una opción real para quienes buscan avanzar proyectos eólicos sin perder tiempo y con tecnología confiable. 📩 Para más información, cotizaciones y detalles logísticos, pueden escribirnos: - Francisco Javier Hernández Montoya: fjhernandez.com - Paola Bolaños: pabolanos.com Imagen de referencia*",LinkedIn
Celsia Energía,4 meses •,"🌱 Nos alegra seguir siendo parte de las conversaciones que impulsan la hashtag . 📍 Ayer, desde Medellín y en el marco de la feria de sostenibilidad del Country club de ejecutivos, les contamos cómo las empresas pueden optimizar sus procesos a través del uso de energía solar 🏭☀️ ¿Qué te parecen estos temas?",LinkedIn
Celsia Energía,2 meses •,"¿Sabías que durante el fenómeno de El Niño, el país siguió con energía gracias a las plantas térmicas, entre ellas El Tesorito? Esto también es parte de la transición energética: tener un sistema confiable, incluso en las crisis climáticas. Comparte si no sabías que esto existía.",LinkedIn
Celsia Energía,2 meses •,"El viento ya empezó a hacer lo suyo. Estamos en pruebas con el segundo aerogenerador de nuestro parque eólico Carreto, en Atlántico. Cada giro nos acerca a un futuro con más energía renovable y así es como se ve desde las alturas. Dale play al video. ⚡️",LinkedIn
Celsia Energía,4 meses • Editado •,"Durante unos meses, nos has escuchado hablar de de hashtag . Nuestro líder financiero Esteban Piedrahita fue el invitado especial en Otro Podcast Bursátil, y allí explicó muy bien de qué se trata este programa. ¡Mucha atención a lo que nos cuenta! Te dejamos una ideas en este carrusel y puedes escuchar el capítulo completo aquí:",LinkedIn
Celsia Energía,2 meses •,"¿Qué es el Cargo por Confiabilidad? Tomás González, exministro de Minas y Energía, lo explica en nuestro pódcast hashtag : Imagínate que estás en la oficina pero no sabes a qué horas vas a salir, entonces, le pagas a un taxista para que esté disponible todo el día en la portería para llevarte a casa a la hora que salgas. El Cargo por Confiabilidad es como ese taxi: - Una herramienta que garantiza energía en firme cuando más la necesita el país. - En épocas como El Niño (sequía), evita que el país se quede sin el suministro eléctrico. - Y también limita los altos precios que se pagan por la energía en momentos de escasez hídrica. Entiéndelo fácil, sin enredos, en este episodio de hashtag que te recomendamos escuchar y leer: 👇🏽",LinkedIn
